"surveyid","agency","city","state","white_hit_rate","black_hit_rate","white_search_rate","black_search_rate"
167,"Bridgeport Police Department","Bridgeport","CT",0.107462686567164,0.092436974789916,0.0863179592888431,0.141442155309033
1212,"New London Police Department","New London","CT",0.346666666666667,0.355555555555556,0.0854700854700855,0.113065326633166
1222,"Westport Police Department","Westport","CT",0.413223140495868,0.298850574712644,0.0285950608531254,0.0877016129032258
184,"Waterbury Police Department","Waterbury","CT",0.18705035971223,0.20703125,0.227620087336245,0.308805790108565
175,"Hartford Police Department","Hartford","CT",0.364705882352941,0.34375,0.0130248237817959,0.0222479721900348
1223,"Wethersfield Police Department","Wethersfield","CT",0.40625,0.387387387387387,0.0575445479810365,0.0756646216768916
1214,"Plainfield Police Department","Plainfield","CT",0.266666666666667,0.666666666666667,0.0175644028103044,0.0697674418604651
170,"Danbury Police Department","Danbury","CT",0.0629213483146067,0.130434782608696,0.0636441647597254,0.0770519262981574
174,"Hamden Police Department","Hamden","CT",0.163934426229508,0.113636363636364,0.0127189324437031,0.0303448275862069
179,"New Britain Police Department","New Britain","CT",0.53030303030303,0.45,0.0411471321695761,0.0636942675159236
177,"Meriden Police Department","Meriden","CT",0.326633165829146,0.406976744186047,0.0595630050882969,0.119610570236439
1219,"Trumbull Police Department","Trumbull","CT",0.397959183673469,0.53125,0.0314910025706941,0.0461095100864553
172,"Fairfield Police Department","Fairfield","CT",0.539473684210526,0.391304347826087,0.0217578013169196,0.0414041404140414
181,"Norwalk Police Dept","Norwalk","CT",0.241150442477876,0.196875,0.0586403736377789,0.135478408128704
183,"Stratford Police Department","Stratford","CT",0.224137931034483,0.285714285714286,0.0580193397799266,0.0888722927557879
173,"Greenwich Police Department","Greenwich","CT",0.15527950310559,0.214285714285714,0.0157734887822083,0.0325960419091967
186,"West Haven Police Department","West Haven","CT",0.107843137254902,0.148936170212766,0.034034034034034,0.0455868089233754
182,"Stamford Police Dept","Stamford","CT",0.214046822742475,0.194690265486726,0.0223735408560311,0.0390193370165746
176,"Manchester Police Department","Manchester","CT",0.619047619047619,0.565789473684211,0.032004064008128,0.056005895357406
171,"East Hartford Police Department","East Hartford","CT",0.509615384615385,0.525510204081633,0.0309892729439809,0.0478048780487805
178,"Milford Police Department","Milford","CT",0.42257217847769,0.323741007194245,0.0863945578231293,0.208083832335329
168,"Bristol Police Department","Bristol","CT",0.406896551724138,0.25,0.0217587034813926,0.0412979351032448
1208,"Darien Connecticut Police Dept","Darien","CT",0.4,0.545454545454545,0.0259311645450259,0.0585106382978723
1211,"Enfield Police Department","Enfield","CT",0.296137339055794,0.256410256410256,0.0269208549971115,0.0414012738853503
1206,"Branford Police Department","Branford","CT",0.153571428571429,0.0666666666666667,0.0316205533596838,0.036231884057971
1205,"Bloomfield Police Department","Bloomfield","CT",0.525,0.354838709677419,0.0116346713205352,0.0353800502168455
1224,"Wilton Police Department","Wilton","CT",0.0556844547563805,0.12962962962963,0.0819547442479559,0.112033195020747
1220,"Vernon Police Department","Vernon","CT",0.508474576271186,0.411764705882353,0.0641583297085689,0.0673712021136063
1216,"Sheldon Police Department","Shelton","CT",0.192307692307692,0,0.0329113924050633,0.0333333333333333
1217,"Torrington Police Department","Torrington","CT",0.52247191011236,0.261904761904762,0.0155390659100829,0.0591549295774648
1225,"Wolcott Police Department","Wolcott","CT",0.0222222222222222,0,0.0493421052631579,0.125
1210,"Easton Police Department","Easton","CT",0,,0.0125,0
1207,"Cromwell Police Department","Cromwell","CT",0.703703703703704,0.666666666666667,0.00983248361252731,0.0155440414507772
1221,"Wallingford Police Department","Wallingford","CT",0.516587677725118,0.522222222222222,0.0524050004139416,0.078740157480315
1213,"New Milford Police Department","New Milford","CT",0.549450549450549,0.5,0.0175607873407951,0.0473933649289099
1215,"Putnam Police Department","Putnam","CT",0.588235294117647,,0.00615050651230101,0
1218,"Groton Police Department","Groton Town","CT",0.556521739130435,0.514285714285714,0.0168054946660821,0.0328638497652582
348,"Chicago Police Department","Chicago","IL",0.276961218346024,0.227339981937319,0.0168792893182525,0.101147901668403
