,Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude,Unnamed: 7
1991,6006.0,Windsor,Connecticut,CT,Hartford,41.8796,-72.7343,-1.0
1994,6013.0,Burlington,Connecticut,CT,Hartford,41.7573,-72.9444,-1.0
1995,6016.0,Broad Brook,Connecticut,CT,Hartford,41.9042,-72.5444,-1.0
1996,6018.0,Canaan,Connecticut,CT,Litchfield,42.0248,-73.3232,-1.0
1997,6019.0,Canton,Connecticut,CT,Hartford,41.8384,-72.8987,-1.0
1998,6020.0,Canton Center,Connecticut,CT,Hartford,41.8539,-72.9028,-1.0
1999,6021.0,Colebrook,Connecticut,CT,Litchfield,42.0282,-73.1041,-1.0
2000,6022.0,Collinsville,Connecticut,CT,Hartford,41.8513,-72.9283,-1.0
2001,6023.0,East Berlin,Connecticut,CT,Hartford,41.6128,-72.719,-1.0
2002,6024.0,East Canaan,Connecticut,CT,Litchfield,42.0158,-73.2913,-1.0
2003,6025.0,East Glastonbury,Connecticut,CT,Hartford,41.6889,-72.5345,-1.0
2004,6026.0,East Granby,Connecticut,CT,Hartford,41.9322,-72.7459,-1.0
2005,6027.0,East Hartland,Connecticut,CT,Hartford,42.0016,-72.9242,-1.0
2006,6028.0,East Windsor Hill,Connecticut,CT,Hartford,41.8592,-72.603,-1.0
2007,6029.0,Ellington,Connecticut,CT,Tolland,41.9114,-72.4626,-1.0
2008,6030.0,Farmington,Connecticut,CT,Hartford,41.7918,-72.7188,-1.0
2009,6031.0,Falls Village,Connecticut,CT,Litchfield,41.9578,-73.3517,-1.0
2010,6032.0,Farmington,Connecticut,CT,Hartford,41.7284,-72.8415,-1.0
2011,6033.0,Glastonbury,Connecticut,CT,Hartford,41.7073,-72.5727,-1.0
2012,6034.0,Farmington,Connecticut,CT,Hartford,41.7918,-72.7188,-1.0
2013,6035.0,Granby,Connecticut,CT,Hartford,41.9602,-72.7994,-1.0
2014,6037.0,Kensington,Connecticut,CT,Hartford,41.6029,-72.77,-1.0
2015,6039.0,Lakeville,Connecticut,CT,Litchfield,41.9516,-73.4377,-1.0
2019,6043.0,Bolton,Connecticut,CT,Tolland,41.7689,-72.4396,-1.0
2021,6049.0,Melrose,Connecticut,CT,Hartford,41.7918,-72.7188,-1.0
2026,6057.0,New Hartford,Connecticut,CT,Litchfield,41.8468,-73.0104,-1.0
2027,6058.0,Norfolk,Connecticut,CT,Litchfield,41.9854,-73.1992,-1.0
2028,6059.0,North Canton,Connecticut,CT,Hartford,41.8997,-72.8907,-1.0
2029,6060.0,North Granby,Connecticut,CT,Hartford,42.0219,-72.8409,-1.0
2030,6061.0,Pine Meadow,Connecticut,CT,Litchfield,41.8744,-72.968,-1.0
2031,6062.0,Plainville,Connecticut,CT,Hartford,41.6727,-72.8644,-1.0
2032,6063.0,Pleasant Valley,Connecticut,CT,Litchfield,41.9249,-72.9827,-1.0
2033,6064.0,Poquonock,Connecticut,CT,Hartford,41.7918,-72.7188,-1.0
2034,6065.0,Riverton,Connecticut,CT,Litchfield,41.9686,-73.0145,-1.0
2035,6066.0,Vernon Rockville,Connecticut,CT,Tolland,41.8501,-72.4649,-1.0
2036,6067.0,Rocky Hill,Connecticut,CT,Hartford,41.6583,-72.6632,-1.0
2037,6068.0,Salisbury,Connecticut,CT,Litchfield,42.0015,-73.4215,-1.0
2038,6069.0,Sharon,Connecticut,CT,Litchfield,41.8714,-73.4578,-1.0
2039,6070.0,Simsbury,Connecticut,CT,Hartford,41.8737,-72.8213,-1.0
2040,6071.0,Somers,Connecticut,CT,Tolland,41.9978,-72.4583,-1.0
2041,6072.0,Somersville,Connecticut,CT,Tolland,41.9765,-72.4906,-1.0
2042,6073.0,South Glastonbury,Connecticut,CT,Hartford,41.6571,-72.5722,-1.0
2043,6074.0,South Windsor,Connecticut,CT,Hartford,41.8341,-72.5576,-1.0
2044,6075.0,Stafford,Connecticut,CT,Tolland,41.8115,-72.3088,-1.0
2045,6076.0,Stafford Springs,Connecticut,CT,Tolland,41.9661,-72.2899,-1.0
2046,6077.0,Staffordville,Connecticut,CT,Tolland,41.9916,-72.2577,-1.0
2047,6078.0,Suffield,Connecticut,CT,Hartford,41.99,-72.642,-1.0
2048,6079.0,Taconic,Connecticut,CT,Litchfield,42.032,-73.4038,-1.0
2049,6080.0,Suffield,Connecticut,CT,Hartford,41.9486,-72.6288,-1.0
2050,6081.0,Tariffville,Connecticut,CT,Hartford,41.9077,-72.7678,-1.0
