,Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude,Unnamed: 7
0,210.0,Portsmouth,New Hampshire,NH,Rockingham,43.0059,-71.0132,-1.0
1,211.0,Portsmouth,New Hampshire,NH,Rockingham,43.0059,-71.0132,-1.0
2,212.0,Portsmouth,New Hampshire,NH,Rockingham,43.0059,-71.0132,-1.0
3,213.0,Portsmouth,New Hampshire,NH,Rockingham,43.0059,-71.0132,-1.0
4,214.0,Portsmouth,New Hampshire,NH,Rockingham,43.0059,-71.0132,-1.0
5,215.0,Portsmouth,New Hampshire,NH,Rockingham,43.0059,-71.0132,-1.0
6,401.0,Pleasantville,New York,NY,-1,41.1381,-73.7847,-1.0
7,501.0,Holtsville,New York,NY,Suffolk,40.9223,-72.6371,-1.0
8,544.0,Holtsville,New York,NY,Suffolk,40.9223,-72.6371,-1.0
9,1001.0,Agawam,Massachusetts,MA,Hampden,42.0702,-72.6227,-1.0
13,1005.0,Barre,Massachusetts,MA,Worcester,42.4097,-72.1084,-1.0
14,1007.0,Belchertown,Massachusetts,MA,Hampshire,42.2751,-72.411,-1.0
15,1008.0,Blandford,Massachusetts,MA,Hampden,42.1829,-72.9361,-1.0
16,1009.0,Bondsville,Massachusetts,MA,Hampden,42.2061,-72.3405,-1.0
17,1010.0,Brimfield,Massachusetts,MA,Hampden,42.1165,-72.1885,-1.0
19,1012.0,Chesterfield,Massachusetts,MA,Hampshire,42.3923,-72.8256,-1.0
25,1026.0,Cummington,Massachusetts,MA,Hampshire,42.4633,-72.9202,-1.0
26,1027.0,Easthampton,Massachusetts,MA,Hampshire,42.3683,-72.7688,-1.0
27,1028.0,East Longmeadow,Massachusetts,MA,Hampden,42.0672,-72.5056,-1.0
28,1029.0,East Otis,Massachusetts,MA,Berkshire,42.1909,-73.0517,-1.0
30,1031.0,Gilbertville,Massachusetts,MA,Worcester,42.3322,-72.1986,-1.0
31,1032.0,Goshen,Massachusetts,MA,Hampshire,42.4662,-72.8441,-1.0
32,1033.0,Granby,Massachusetts,MA,Hampshire,42.2557,-72.52,-1.0
33,1034.0,Granville,Massachusetts,MA,Hampden,42.1127,-72.952,-1.0
34,1035.0,Hadley,Massachusetts,MA,Hampshire,42.3606,-72.5715,-1.0
35,1036.0,Hampden,Massachusetts,MA,Hampden,42.0648,-72.4318,-1.0
36,1037.0,Hardwick,Massachusetts,MA,Worcester,42.3479,-72.2253,-1.0
37,1038.0,Hatfield,Massachusetts,MA,Hampshire,42.3844,-72.6167,-1.0
38,1039.0,Haydenville,Massachusetts,MA,Hampshire,42.3818,-72.7032,-1.0
42,1053.0,Leeds,Massachusetts,MA,Hampshire,42.3543,-72.7034,-1.0
43,1054.0,Leverett,Massachusetts,MA,Franklin,42.4682,-72.4993,-1.0
44,1056.0,Ludlow,Massachusetts,MA,Hampden,42.1728,-72.471,-1.0
46,1059.0,North Amherst,Massachusetts,MA,Hampshire,42.3696,-72.636,-1.0
47,1060.0,Northampton,Massachusetts,MA,Hampshire,42.3223,-72.6313,-1.0
48,1061.0,Northampton,Massachusetts,MA,Hampshire,42.3696,-72.636,-1.0
49,1062.0,Florence,Massachusetts,MA,Hampshire,42.3219,-72.6928,-1.0
50,1063.0,Northampton,Massachusetts,MA,Hampshire,42.3179,-72.6402,-1.0
51,1066.0,North Hatfield,Massachusetts,MA,Hampshire,42.4067,-72.6339,-1.0
52,1068.0,Oakham,Massachusetts,MA,Worcester,42.348,-72.0513,-1.0
53,1069.0,Palmer,Massachusetts,MA,Hampden,42.1762,-72.3288,-1.0
54,1070.0,Plainfield,Massachusetts,MA,Hampshire,42.5144,-72.9183,-1.0
55,1071.0,Russell,Massachusetts,MA,Hampden,42.1471,-72.8403,-1.0
56,1072.0,Shutesbury,Massachusetts,MA,Franklin,42.482,-72.4213,-1.0
57,1073.0,Southampton,Massachusetts,MA,Hampshire,42.2247,-72.7194,-1.0
58,1074.0,South Barre,Massachusetts,MA,Worcester,42.376,-72.1494,-1.0
59,1075.0,South Hadley,Massachusetts,MA,Hampshire,42.2375,-72.5811,-1.0
61,1079.0,Thorndike,Massachusetts,MA,Hampden,42.1929,-72.3296,-1.0
62,1080.0,Three Rivers,Massachusetts,MA,Hampden,42.1819,-72.3624,-1.0
63,1081.0,Wales,Massachusetts,MA,Hampden,42.0627,-72.2046,-1.0
64,1082.0,Ware,Massachusetts,MA,Hampshire,42.2618,-72.2583,-1.0
65,1083.0,Warren,Massachusetts,MA,Worcester,42.204,-72.1994,-1.0
66,1084.0,West Chesterfield,Massachusetts,MA,Hampshire,42.3903,-72.8709,-1.0
67,1085.0,Westfield,Massachusetts,MA,Hampden,42.1537,-72.7698,-1.0
68,1086.0,Westfield,Massachusetts,MA,Hampden,42.1734,-72.848,-1.0
69,1088.0,West Hatfield,Massachusetts,MA,Hampshire,42.3906,-72.6469,-1.0
72,1092.0,West Warren,Massachusetts,MA,Worcester,42.2029,-72.229,-1.0
73,1093.0,Whately,Massachusetts,MA,Franklin,42.4427,-72.6525,-1.0
74,1094.0,Wheelwright,Massachusetts,MA,Worcester,42.3582,-72.1408,-1.0
75,1095.0,Wilbraham,Massachusetts,MA,Hampden,42.1245,-72.4464,-1.0
